Entidade,Quantidade,Tipo
Deus,254,PER
Cristo,120,PER
Brasil,97,LOC
Jesus,82,PER
Bernardo,57,PER
Deus,47,MISC
CNBB,42,ORG
bíblia,34,MISC
YouTube,33,MISC
Deixa,28,LOC
lutero,27,PER
Terra,25,LOC
Estado,25,LOC
Senhor,24,PER
Bíblia,24,MISC
Páscoa,24,MISC
Olha,22,LOC
São Paulo,21,LOC
Jesus Cristo,19,PER
igreja católica,18,ORG
Vocês,17,LOC
IBGE,17,LOC
Sim,16,ORG
Papa,16,PER
ONU,16,ORG
Invencível,16,LOC
Papa Francisco,15,PER
Instagram,15,LOC
Satanás,13,PER
Certo,13,PER
QR Code,13,MISC
Bom Combate,12,LOC
vocês,12,LOC
Pedro,12,PER
R$,12,MISC
Igreja,12,ORG
Invencível,12,MISC
Lua,12,LOC
maçonaria,11,ORG
cristo,10,PER
Evangelho,10,MISC
Umbanda,10,LOC
Igreja Católica,10,ORG
Claro,9,ORG
Quaresma,9,PER
Europa,9,LOC
R$,9,LOC
concílio vaticano,9,MISC
México,9,LOC
CBB,9,MISC
Instagram,8,ORG
Senhor Jesus Cristo,8,PER
Espírito Santo,8,LOC
Concilio de Inicéia,8,MISC
Antigo Testamento,8,MISC
Deus Pai,7,PER
Paulo,7,PER
de São Paulo,7,LOC
Sabe,7,PER
Nossa Senhora,7,PER
Vaticano,7,LOC
Sol,7,LOC
Cinebema,7,LOC
novo testamento,7,MISC
Estados Unidos,7,LOC
São João,6,PER
Exato,6,LOC
São Tomás,6,PER
Dom Vidal,6,PER
Darwin,6,PER
Adão,6,PER
Maria,6,PER
Gramsci,6,PER
R$,6,PER
Abraão,6,PER
calvino,5,PER
WhatsApp,5,MISC
Itália,5,LOC
Malta,5,LOC
Marx,5,PER
Jefferson,5,PER
LGBTQIA,5,ORG
Escrituras,5,MISC
Harry Potter,5,MISC
Bento,5,PER
São Pedro,5,PER
Islândia,5,LOC
São Tomás de Aquino,5,PER
Folha de São Paulo,5,LOC
Rio de Janeiro,5,LOC
Vamos,5,LOC
Lula,5,PER
Aristóteles,4,PER
Egito,4,LOC
concílio Vaticano II,4,MISC
Santa Muerte,4,LOC
Globo,4,ORG
Alcorão,4,MISC
são paulo,4,LOC
Doug,4,PER
Aquilo,4,PER
Alemanha,4,LOC
Boécio,4,PER
Olavo,4,PER
Marcos,4,MISC
Amazon,4,ORG
Roma,4,LOC
Eliane Cantagnede,4,PER
Invincivel,4,ORG
Heres,4,LOC
Canadá,4,LOC
antigo testamento,4,MISC
padre Cardim,4,PER
Napoleão,4,PER
Cácia,4,LOC
Eva,4,PER
Papa Leão XIII,4,PER
Concilio,4,LOC
tiago,4,PER
Nossa,4,PER
Buda,4,PER
Irmandade,4,PER
Olinda,4,LOC
Trindade,4,MISC
reino de Deus,4,LOC
Bélgica,4,LOC
Lúdiz,3,LOC
Lindo,3,LOC
Moisés,3,PER
Formação,3,LOC
Lenin,3,PER
Satan,3,PER
Virgem Maria,3,PER
padre Pio,3,PER
CERN,3,LOC
Bruno,3,PER
América,3,LOC
Recife,3,LOC
Israel,3,LOC
Fecha,3,PER
Cita,3,PER
Santo Agostinho,3,PER
Ave Maria,3,PER
Hitler,3,PER
Nietzsche,3,PER
Pio XI,3,PER
Leão XIII,3,PER
Dom Eugênio Salles,3,PER
Santo Tomás,3,PER
Alastair Crowley,3,PER
Deus te abençoe,3,MISC
Formação Invencível,3,MISC
Olavo de Carvalho,3,PER
Quebec,3,LOC
Amazônia,3,LOC
Deus?,3,MISC
Big Bang,3,LOC
Revolução Francesa,3,MISC
Sim?,3,MISC
Cardel,3,MISC
Rússia,3,LOC
Judas,3,PER
Papa Bento XIV,3,PER
Meu Deus,3,MISC
Sei,3,MISC
PT,3,ORG
Santa Maria,3,LOC
África,3,LOC
santos,3,ORG
Defesa da Fé,3,LOC
Dignitas Infinita,3,MISC
Mateus,3,MISC
Santos,3,ORG
Suíça,3,LOC
Novo Testamento,3,MISC
Insta,3,LOC
Quaresma,3,MISC
Bernardo Kister,3,PER
APN,3,ORG
TUT,3,ORG
Minas Gerais,3,LOC
Tútio,3,LOC
Natal,3,MISC
agostinho,3,PER
Ramos,3,LOC
Bolsonaro,3,LOC
Christian,2,PER
Dona Maria,2,PER
Filho,2,PER
São José de Enxieta,2,PER
Mentira,2,PER
Reino de Deus,2,LOC
Feliz Ano Novo,2,PER
São Pio,2,PER
Satã,2,PER
João Batista,2,PER
