Entidade,Quantidade,Tipo
.,1831,LOC
Senhor,1124,PER
Deus,997,PER
Jesus,842,PER
Cristo,426,PER
São Sebastião,371,PER
Espírito Santo,243,LOC
Pai,190,LOC
Senhor Jesus Cristo,165,PER
Deus,161,MISC
Jesus Cristo,129,PER
Pedro,127,PER
Nós,120,MISC
Teu,120,PER
Senhor,119,LOC
Pai,117,MISC
Santo,112,LOC
Cordeiro de Deus,112,PER
Eu,102,PER
Páscoa,77,MISC
Vamos,66,LOC
Pai,66,PER
O Senhor,66,MISC
Glória,65,LOC
São Sebastião,64,LOC
Osana,60,LOC
Filho,60,PER
Igreja,58,ORG
Maria,57,PER
Israel,55,LOC
Tomai,52,MISC
Espírito,51,LOC
Porque,50,LOC
Davi,49,PER
Cristo nosso Senhor,49,PER
Aleluia,47,PER
João,47,PER
Samuel,45,PER
Deus Pai,43,PER
O Senhor esteja convosco,41,MISC
Brasil,41,LOC
Me,41,MISC
Paróquia,40,LOC
Evangelho,40,MISC
Salvador,40,LOC
Padre Patrick,39,PER
Pilatos,38,PER
Igreja Matriz,37,LOC
terra,35,LOC
Papa Francisco,34,PER
Vós,33,PER
Deus Todo-Poderoso,33,PER
Virgem Maria,31,PER
Jerusalém,30,LOC
Vosso,30,MISC
Senhor Jesus,30,PER
vosso Filho,30,PER
Paróquia São Sebastião,30,MISC
Abraão,30,PER
Saúl,29,PER
Senhor nosso Deus,29,MISC
São José,28,LOC
Olha,27,LOC
Proclamação do Evangelho de Jesus Cristo,27,MISC
Amém,27,MISC
Fazer,26,MISC
Tende,26,LOC
Paulo,26,PER
Vossa,25,LOC
Bendito,25,LOC
Patrick,24,PER
Judas,24,PER
Venha,24,LOC
Tenho,24,PER
Pai e do Filho e do Espírito Santo,23,MISC
São José,23,PER
Eu vim,23,MISC
Tua,23,LOC
Nosso,23,LOC
Tua,23,PER
Vosso,22,PER
Ti,22,PER
Padre,22,PER
São Paulo,22,LOC
Filho,22,LOC
Senhor Deus,22,PER
Eucaristia,21,ORG
Bispo Vital,21,LOC
Resurgiremos,21,ORG
Toma,21,ORG
Rei,21,PER
Sou,21,PER
Tiago,21,PER
Oh,21,LOC
Eis,21,LOC
Deus Pai Todo-Poderoso,20,PER
Moisés,20,PER
Tomé,20,PER
Maria Madalena,20,PER
Espírito,20,MISC
Senhor Eu,20,PER
Vós,19,MISC
Amanhã,19,PER
Vocês,19,LOC
Toda,18,LOC
Sebastião,18,PER
Deus Eterno e Todo-Poderoso,18,MISC
Vou,18,LOC
Pois,18,PER
Livrai-nos,18,MISC
Pai do Patrício,18,MISC
Vem,18,MISC
Pão,18,LOC
vocês,18,LOC
Cordeiro,17,LOC
Prova,17,PER
Sim,17,ORG
Tchau,17,LOC
Toma meus lábios,17,MISC
Verbo,17,PER
Tomar,17,LOC
Santa Igreja Católica,16,ORG
Corações,16,LOC
Marabá,16,LOC
Vivei,16,LOC
Santa Missa,16,LOC
Ou,16,MISC
João Batista,16,PER
Bispos,16,LOC
Toma,16,PER
Deus Pai,16,MISC
Egito,16,LOC
Suplicantes,16,PER
Ele,15,PER
Irmãos,15,PER
Santa Maria,15,LOC
Permanece,15,LOC
Sabe,15,PER
Bíblia,15,MISC
Que,15,LOC
