Entidade,Quantidade,Tipo
"Pai, do Filho e do Espírito Santo",96,MISC
Meus,96,PER
Jesus,94,PER
Evangelho de hoje,46,MISC
Pai e do Filho e do Espírito Santo,38,MISC
Deus nosso Senhor,32,MISC
Divino Jesus,32,PER
Santa Cruz,32,LOC
Deus,25,PER
Meus,11,LOC
Quaresma,10,MISC
Evangelho,10,MISC
Senhor,10,PER
Cristo,9,PER
Páscoa,9,MISC
Evangelho de São João,9,MISC
Igreja,8,ORG
Paulo Ricardo,8,PER
Portugal,8,LOC
Testemunho de Fé,7,MISC
jesus,6,PER
Olá,6,PER
Espírito Santo,6,LOC
Pai,6,LOC
Brasil,5,LOC
páscoa,5,MISC
Evangelho de São Marcos,5,MISC
França,4,LOC
Semana Santa,4,MISC
Quaresma,3,PER
Judas,3,PER
São Marcos,3,PER
Senhor Jesus Cristo,3,PER
Maria,3,PER
Filho,3,PER
Padre Paulo Ricardo,3,PER
Antigo Testamento,3,MISC
evangelho de São João,3,MISC
Satanás,3,PER
Dez Mandamentos,3,MISC
Claro,3,ORG
São José,3,PER
Lázaro,2,LOC
Testemunho,2,PER
Lua,2,LOC
Igreja Católica,2,ORG
Emmaus,2,PER
Santa Maria,2,LOC
São João,2,LOC
Pedro,2,PER
Marta,2,PER
Anunciação do Senhor,2,LOC
São Lucas,2,PER
Nossa Senhora,2,PER
São João,2,PER
Moisés,2,PER
Quarta-feira,2,LOC
Amém,2,LOC
Evangelhos,2,LOC
Eucaristia,2,ORG
Técimões de Fé,2,MISC
Veja,2,MISC
Deus que a Igreja,2,MISC
Inspirai o Senhor,2,MISC
Deus,2,MISC
Sermão da Montanha,2,MISC
Natal,2,MISC
Evangelho de hoje a luta entre,1,MISC
Toda Santa Mãe de Deus,1,LOC
São José,1,LOC
Próximo,1,LOC
Solenidade de São José,1,LOC
vanglória,1,LOC
Virgília Pascal,1,LOC
Domingo de Ramos,1,MISC
reino de Deus,1,LOC
Santa Missa,1,LOC
Virgem,1,LOC
Palavra de Deus,1,MISC
Santa Maria Madalena,1,LOC
Claro,1,LOC
Vejam,1,LOC
conversão de São Paulo,1,LOC
Santa Terezinha,1,LOC
São João Bosco,1,LOC
Santas,1,LOC
Santa Águeda,1,LOC
Pessoal,1,LOC
Cátedra de São Pedro,1,LOC
Santa Escolástica,1,LOC
Santa Tereza d'Ávila do Castelo Interior,1,LOC
Deixa,1,LOC
Christi,1,LOC
Novo Templo,1,LOC
Instituto Brasileiro de Planejamento,1,LOC
São Timote,1,LOC
evangelho de são marcos,1,MISC
Cânon Romano,1,LOC
Eslováquia,1,LOC
São Francisco de Sales,1,LOC
Betânia,1,LOC
Evangelho da famosa,1,MISC
Evangelho é necessário colocar no contexto,1,MISC
Semana de nossa Redenção,1,MISC
Semana Maior,1,MISC
Epifania do Senhor,1,LOC
Caffarnaum,1,LOC
Lúcia,1,LOC
Pai Paulo Ricardo,1,MISC
Magistério Papal,1,ORG
Senáculo,1,LOC
lago de Tiberíades,1,LOC
Sol,1,LOC
Marcos,1,MISC
Terra,1,LOC
Imagine,1,LOC
órbita da Terra,1,LOC
Evangelho extraordinário da ressurreição da filha de,1,MISC
CNBB,1,ORG
Templo Paschal,1,LOC
Constituição de 1988,1,ORG
Evangelho de ontem,1,MISC
Padroeiro da Igreja,1,ORG
Sábado Santo,1,ORG
Quais,1,ORG
Ministério de Jesus,1,ORG
Sim,1,ORG
parentes de jesus,1,ORG
Ontem,1,LOC
Santa Jesus,1,LOC
Respeito do Infante do Enrique,1,MISC
Nossa Senhora de Fátima,1,LOC
Estados Unidos,1,LOC
Nazaré,1,LOC
São Vão,1,LOC
Alegria,1,LOC
Alegria Paschal,1,LOC
Nossa Senhora,1,LOC
Sim,1,LOC
Jacinta,1,LOC
Pasco,1,LOC
rio desemboca,1,LOC
Senhor,1,LOC
nazaré,1,LOC
Santíssimo,1,LOC
Epulão,1,LOC
Pão da Vida,1,LOC
Japão,1,LOC
São Paulo,1,LOC
Miki,1,LOC
China,1,LOC
Quarta-feira de Cinzas,1,LOC
Evangelho para ver as estratégias de,1,MISC
Evangelho do pastor,1,MISC
Não Matarás,1,MISC
Bíblia,1,MISC
Evangelho do Bom Pastor,1,MISC
Domingo do Bom Pastor,1,MISC
Evangelho que a Igreja,1,MISC
domingo de Páscoa,1,MISC
São Bento,1,PER
Evangelho constrangedor,1,MISC
Abraão,1,PER
revolução francesa,1,MISC
Jairo,1,PER
São Marcos Evangelista,1,PER
Evangelho de hoje continuamos o encontro de Jesus com Nicodemos,1,MISC
João Marcos,1,PER
João,1,PER
Evangelho que a igreja,1,MISC
João Batista,1,PER
Tributação,1,PER
São Tito,1,PER
Evangelho de hoje iniciamos,1,MISC
Vamos,1,PER
