Tópico,Palavras
Tópico 5,"inferno, morte, disse, jesus, mortos, rei, és, poderoso, poder, glória"
Tópico 9,"tranquilo, toc, fé, formação, lá, invencível, deus, agora, igreja, fazer"
Tópico 20,"deus, igreja, tranquilo, fé, gente, pode, lá, agora, vida, fazer"
Tópico 4,"páscoa, primavera, data, terra, lua, ano, cheia, pode, domingo, calendário"
Tópico 13,"deus, igreja, fazer, toc, formação, pode, agora, pessoas, tranquilo, lá"
Tópico 0,"deus, fé, igreja, gente, lá, agora, tranquilo, pessoas, mundo, fazer"
Tópico 7,"igreja, deus, mundo, agora, cristo, fazer, pessoas, fé, pode, lá"
Tópico 12,"fé, tranquilo, toc, deus, igreja, gente, mundo, fazer, pode, lá"
Tópico 3,"deus, fé, gente, toc, igreja, tranquilo, pode, fazer, lá, pessoas"
Tópico 22,"deus, igreja, pode, dignidade, gente, fé, pessoas, ter, agora, tranquilo"
