num_topics,u_mass,c_uci,c_npmi,c_v,perplexity
2,-0.40638563615472223,0.2953920256817841,0.18505076721912284,0.7777157679200173,566.7960710197256
4,-1.7054365957111188,-2.126204740397899,-0.012196407436410399,0.7000905396416782,516.8197234822845
6,-3.3568111170772035,-3.783649994946355,-0.0770447744781916,0.7058907014628252,489.43540872609856
8,-3.885744094508837,-3.779096868464817,-0.07460398633198095,0.6660359113477171,510.63940744247583
10,-3.528266949777632,-2.7714662566237718,-0.016504152604812798,0.7365760013461113,507.45880469612894
12,-4.940037950085489,-5.301857247267076,-0.1324434729649425,0.7112526878714562,511.6723847499292
14,-5.7606593955515795,-4.870092142037611,-0.11956889650081756,0.6816941917208689,505.21444329665377
16,-4.903812668259781,-5.232296953691767,-0.12379280940547742,0.6888487229123712,495.3596268116345
18,-5.99106683019984,-5.750922060010702,-0.12519114472699167,0.7036088712099526,534.5467379658959
20,-6.387791852231374,-5.997440983403614,-0.1628178109017071,0.70594682559371,525.4284212039942
22,-6.679052159113328,-6.296150993249435,-0.16446215317157556,0.6686742684507576,528.9728544774292
24,-6.728696571121912,-6.598949436943973,-0.16800112249869467,0.7108642331470034,549.5125622426065
26,-8.72614038042013,-8.011108689403624,-0.22591105920177043,0.7281868072441562,510.36473622710696
28,-9.042476212427207,-7.501578252052185,-0.1900672113312609,0.7490450309190367,539.2227499983807
