Tópico,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,gente,"aqui,","não,",senhor,adorar,santo,samuel,verbo,olha,facto,bem,flecha,amanhã,evangelho,corpo,mundo,caro,bastou,rogai,eleição,joão,amém.,nome,salva,oração,transformar,"osana,",intercessão,venho,"disse,"
1,faz,coração,agora,dentro,tempo,cruz,dor,precisa,mundo,possa,tantas,toma,mal,pecado,dias,povo,evangelho,talvez,inteiro,pecados,próximo,corações,presença,anos,recebe,páscoa,tanto,vê,pé,experiência
2,diante,vezes,alguém,tão,pessoa,talvez,coisas,dizer,medo,apenas,primeira,"silva,",irmão,passa,certeza,tantos,sinto,maior,"momento,",deus.,vem,"sim,",falta,"bem,",deixa,palavras,"aliás,",antes,confiança,"mim,"
3,fazendo,gente,parte,projeto.,vez,"assim,",elei-so,"mostrai-me,",conversão,caminhos,vossos,realidade,"gente,",repente,importa,"oliveira,",tem-te,alegria,comunhão,"vocês,",joão,caminho,caminhada,silva,conduz,souza,oriente,"amarei,",maria,forma
4,todos,dia,amém,céu,toda,vida,cordeiro,mundo,glória,pão,pecado,fez,vossos,"senhor,",comunhão,irmãos,igreja,convosco,aleluia,pedro,eis,"jesus,","aleluia,",primeiro,oh,evangelho,tirais,homem,olhos,bom
5,pai.,pés,"amor,",ceia,sangue,eterno,nesta,escondida,judas,vida,"crer,","amanhecer,",plena,jesus.,resurgiremos,comer,és,"visão,","senhor,",casa,preparar,"enquetou,",vivei,"tomar,",mistério,vez,perdão,uns,lavar,amou
6,vida,joão,domingo,fé,todos,povo,luz,misericórdia,vazio,agradeço,plenamente,felicidade,morte,sentir,nessa,permanece,mistério,pascal,eleição,música,jerusalém,boca,ações,quê,nações,ama,felipe,"poder,",pente,crê
7,"santo,","cristo,",corpo,deste,sangue,jesus,todo,cada,morte,novo,nova,fim,coração,sacrifício,tão,disse,amém.,vosso,cálice,quero,alturas,cruz,desde,"paz,",vivo,tende,encontro,amado,"nós,",paixão
8,lá,igreja,paróquia,alegria,outro,poder,"então,",somente,bênção,sonho,cidade,chegar,"também,",luz,toda,ano,mistério,oração,juntos,fica,queria,reino,caridade,tenha.,outros,faço,digna,menos,"né,",também.
9,deus,fazer,ti,padre,graça,família,casa,todo,misericórdia,"deus,",né?,piedade,bom,quero,sempre,queremos,presença,voz,bem,falar,tempo,nada,"não,",irmãs,ó,dom,toda,"maria,",fala,lar
