num_topics,u_mass,c_uci,c_npmi,c_v,perplexity,diversity,irbo,jaccard
2,-0.339265631946648,-2.9035920759076923,-0.07671614083233484,0.4008123815059662,5086.0873519577835,0.85,0.22095580004334178,0.8235294117647058
4,-0.25108323786595804,-2.461269318665681,-0.040658386002550444,0.5241205301135778,5334.014356412963,0.8,0.0670205478184056,0.8754873294346979
6,-0.23029765986907677,-1.2256940579316238,0.01052558855657479,0.6435200036192934,5464.799255051555,0.7833333333333333,0.08622920470238266,0.9169877307648207
8,-0.28115323185341373,-2.6018441454867802,-0.06445621176631376,0.5009658021852375,5566.347620944275,0.7625,0.059172679185378996,0.932220256523662
10,-0.27944761143969876,-1.9848008426775672,-0.03706962009794206,0.554472829308361,5575.145496349848,0.77,0.061320981424378106,0.9497916905553644
12,-0.2875971531005426,-2.6294213957406396,-0.06291901495112952,0.546589190105442,5491.698576159391,0.7666666666666667,0.034218841111339666,0.9579854270256747
14,-0.3875776183836959,-3.5361070602190288,-0.08812198402916484,0.5584516954342169,5557.937020867894,0.8,0.026525992877064357,0.9746160272476062
16,-0.4224325337491468,-3.896566766397928,-0.11273659192028863,0.5553978607058525,5260.84494552879,0.7625,0.03509916925961905,0.9749914000687995
18,-0.4044452380310166,-3.0056876028095147,-0.06885982108100812,0.5716542256478633,5914.757047637152,0.7222222222222222,0.03010853333044751,0.9719631001121926
20,-0.5489730529907229,-3.618858506310828,-0.09876501591496736,0.6017453051178018,5791.886823368633,0.755,0.031207547182051418,0.9716510057393226
22,-0.41219996380250856,-4.342032669353669,-0.12848495878878644,0.5917808941142125,5989.52886692944,0.7,0.022800543681721443,0.9743733218965418
24,-0.5018247101801316,-4.322030958565026,-0.1176856562547015,0.5941965070242682,5644.506837633999,0.75,0.0184785086068982,0.983232626892608
26,-0.5237022589841456,-3.7700958732486476,-0.10232464448866865,0.5897903313914026,5825.811129886887,0.7153846153846154,0.0310320854074394,0.9766769865841074
28,-0.8310428875700445,-5.2571129662251925,-0.15171565771197487,0.620332618869309,5469.6925323811665,0.7607142857142857,0.018740815484563692,0.9834435398590886
