Tópico,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,alguma,pessoas.,irmãzinhas,prática,cuidado,quer,marca,"gostemos,",penitenciária,acusa,"degradante,",acusar,quatro,ouvimos,excelente,chamando,objetivo,corrupção.,produto,preconceitos,"advogado,","camponeses,",28,político,passado,"paróquias,","piauí,",responsável,aciona,não?
1,dizer,bom,trabalho,anos,fazendo,pequena,conheço,exemplo,"vida,",atuo,maria,30,pão,pastor.,naquele,viu?,dá,20,belo,conhecê-lo,39,cristão.,seguimos,bíblica,escritor,testemunha,horizonte,comunidades,cidadezinha,grega
2,nesse,professora,igreja,desde,"senhor,",20,nome,missa,tão,"horas,",nessa,"domingo,",poder,semana,"santa,",unesp,"miguel,",beatriz,ceia,quinta-feira,oração,sei,desse,mãe.,vereadores,acho,lembra,"natal,",título,quarta-feira
3,nome,miguel,"anos,",paróquia,júlio.,comunidade,"arcanjo,",grande,parte,boa,"tempo,",participo,"dia,",conheço,"noite,",arcanjo,40,olá,pertenço,"moca,",bem,capela,"santos,",acompanhei,quase,dois,incrível,depoimento,"filhos,","lúcia,"
4,todos,todas,campanha,outro,todo,grito,"dia,",força,"brasil,",fraternidade.,nesta,"gentileza,",presença,durante,"vulneráveis,",especial,apoiamos,5,tipo,"resistência,","força,",imaculada,carinho,agradeço,marcia,desafios,vitalidade,vontade,"arcancha,",pároco.
5,contra,julio,nacional,amor,pado,voz,encontro,profeta,julio.,sul.,julo,acha,olá,injustiças,daqueles,"carinho,",forças,lancelot.,nome,defender,"jovens,",pc,"isso,","joliveira,",visto,rasteira,passado.,sofrendo.,desumanizante,estupidamente
6,nome,pouco,vezes,vez,muitos,padre,fotógrafo,dias,"assim,",conheço,muitas,notícias,dignidade,"vigor,",trabalhos,encontrou,participei,"oprimidos,","violência,",breve,algumas,faz.,graças,importantíssima,exercer,covarde,acordar,"políticos,","ângelo,",comum
7,estado,grande,pade,minas,"muito,",rio,"obras,",missas,janeiro.,viver,fazem,"gerais,",amor,disse,vieram,profunda,baseado,icl,células,"juíva,",nu,"lessa,",criado,ficção.,pesquisa,"séria,","nomear,",humano,"estado,","colhida,"
8,domingo,"irmãos,","irmãs,",tempo,nós.,"páscoa,",quinto,"quaresma,",chamado,vivendo,quer,bonito,cristo,verdade,sempre,marcos,evangelho.,primeiro,irmãos,"dizer,",todos,"diz,",celebraremos,bonito.,"kalos,","vem,",urbanista,arquiteto,designar,"criou,"
9,tão,sendo,fraternidade,"padre,",professor,qualquer,"social,",apoiar,conheci,campanha,importante,passando,"nós,",auxiliar,têm,direito,odeiam,"apoio,",atacar,importantes,outros,mensagem,feita,brasil,"que,",projetos,padre.,"sociais,",necessitados,"quaresma,"
