num_topics,u_mass,c_uci,c_npmi,c_v,perplexity,diversity,irbo,jaccard
2,-4.917117013773559,-5.2428513411500735,-0.14585284669584891,0.4154398562386632,7251.540680780295,0.9,0.5198928666955612,0.8888888888888888
4,-8.913758762138613,-9.736641003607728,-0.3031148568374434,0.6348608985543251,6566.045390336231,0.975,0.0014517196650000001,0.9912280701754387
6,-8.480180410214638,-9.155641911142999,-0.28091750794278086,0.6335522303978602,6552.50233989298,0.95,0.024910609017268708,0.9890838206627681
8,-9.959488094700719,-9.717707206826372,-0.2950437147676777,0.6771790891885757,6373.356081092476,0.9375,0.022847641074524416,0.9885129490392648
10,-10.399733576907767,-10.184329132023716,-0.3020675288386768,0.718789322078228,6585.027140768424,0.96,0.013584337408691607,0.9951916829109811
12,-9.34812196054704,-9.322694407852579,-0.25794315077603874,0.7388657900194326,6379.767306571744,0.925,0.017067688122643396,0.9908580125298393
14,-10.026317633168846,-9.008420880709211,-0.24333672757829866,0.739983882009983,5929.713294871478,0.8857142857142857,0.019213807577979646,0.9894608315660948
16,-11.41908762285508,-9.853948177001621,-0.2737549565298726,0.7692340871319174,6548.2473281807725,0.93125,0.009303154422716623,0.9941434468524252
18,-10.850495744285501,-9.602664568257284,-0.2653159700233302,0.7651904481980536,6550.90112512763,0.8833333333333333,0.016032726894535644,0.9899476359744679
20,-10.458274985832437,-9.226238743966503,-0.24017333005677646,0.8005995936691761,6097.706351848287,0.88,0.024021949305667825,0.9907048322560789
22,-11.336530521868756,-9.638144292300606,-0.25155784849151464,0.807584349269217,6385.831577687805,0.9045454545454545,0.008149330293225883,0.9947089947089948
24,-11.237917860083392,-9.752156242403263,-0.25382616202597214,0.8261936438580353,6273.813760238827,0.9125,0.005406038087445282,0.9959954233409611
26,-11.956909304784842,-10.337528647760648,-0.2837330127794674,0.8291040704800531,6665.3642411217625,0.9,0.007919299324315147,0.9951057130004497
28,-11.911475538695253,-9.66790003080146,-0.24957754308699556,0.8339646356446401,6307.588842530945,0.85,0.008762569236435048,0.9929580669174752
