Tópico,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,deus,jesus,isso.,todas,nome,dar,nada,muita,padre,falando,quer,dizer,"aí,",lá.,dois,negócio,vezes,santa,maria,experiência,cristã,"nós,",ensino,etc.,maioria,simples,vontade,10,"paulo,",missa
1,tranquilo.,t,toc,invencível,formação,aula,aulas,defesa,"lá,",música,defender,pessoa,receber,religiões,você.,qr,ataques,fatos,razão,oportunidade,aula.,comecei,comigo,valor,algo,fim.,aí?,quer,preparar,josé
2,igreja,marxismo,"aqui,",ter,todos,"padre,",igreja.,casamento,haverá,"senhor,","castidade,",homens,"casado,",papa,propriedade,"homem,",aqui.,casados,sacerdotes,católica,número,comunismo,falou,"celibato,",céu.,"dele,",cardel,mulher,"livro,",realidade
3,paganismo,religião,sociedade,tipo,parte,conhecimento,acordo,teoria,dessa,surgiu,religiões,tentativa,influência,faz,conhecida,antiga,doutrina,século,magia,mudanças,doutrinas,mundo?,grupo,parece,criar,agenda,moral,neo-paganismo,fundador,origem
4,igreja,bíblia,lutero,graça,escritura,natureza,novo,testamento,diz,doutrina,escrituras,idade,carta,olha,verdade,corpo,tiago,ninguém,nicodemos,acesso,roubou,imagem,pai,protestantes,obras,imagens,texto,aliás,pedro,transmite
5,brasil,igrejas,estado,abrir,educação,saúde,colocar,escolas,dado,youtube,religiões,inclusive,"youtube,",deixa,r$,dados,"paróquia,","igrejas,",domicílios,"aí,",religiosos,mostrar,ibge,pega,instagram,brasil.,número,hospitais,especial,religioso
6,ter,bem,todas,link,dias,nova,tornar,cultura,todos,encontrar,quanto,práticas,ciência,professor,"amigos,",bernardo,"vocês,",quero.,módulos,comunidade,"claro,",promoção,"verdadeiras,",mídia,"simples,",assistir,bruxaria,ideias,judeus,conta
7,pode,igreja,"isso,",faz,acho,ainda,"bom,",além,"ah,","sim,","brasil,","olha,",olha,têm,parte,"igreja,",história,"pessoas,",começa,falar,"inclusive,","aqui,",posso,"também,",cristo.,quanto,"mas,",dessa,ir,tanto
8,formação,"agora,","fé,",saber,módulo,deixa,deve,responder,bom?,todo,vezes,luz,ressurreição,fez,invencível,começar,"você,","obviamente,",duas,cristianismo,existência,"então,",200,r$,cinco,acredita,agora.,respostas,comentários,"cristãos,"
9,dignidade,documento,próprio,pessoa,homem,deus,"homem,",humana,diz,aqui.,etc.,declaração,"humana,",bem,humana.,fez,ideologia,documento.,coisas,fazer,"ontológica,",papa,dignidade.,infinita,"social,",valor,natureza,razão,"infinita,",fundamento
