num_topics,u_mass,c_uci,c_npmi,c_v,perplexity,diversity,irbo,jaccard
2,-0.23091964531585482,-4.787169512339876,-0.1714071800855873,0.6435497924685478,15212.279790531124,1.0,0.0,1.0
4,-0.17340517280923803,-3.8960898880909336,-0.13437900600616703,0.7084411382675171,15140.688627079799,0.975,0.000645700815,0.9912280701754387
6,-0.22274021989601245,-4.081135790774036,-0.12345728785348005,0.7033820730944473,14925.52730023891,0.9666666666666667,0.002475179215852041,0.992982456140351
8,-0.28292490079896343,-3.9965685563287177,-0.12745550775409586,0.7065530549734831,15424.112236446896,0.9375,0.012344932740675107,0.9906015037593985
10,-0.31023639223548255,-4.253608138811643,-0.12522287180682942,0.6894152503088117,14975.757744243536,0.93,0.007763982745336734,0.9905133203378818
12,-0.30440606533506614,-3.917854777577331,-0.11642939526480557,0.6984229348599911,15379.046854006157,0.8666666666666667,0.019379785613439237,0.9835923736852531
14,-0.38712164025738344,-4.493307293605651,-0.1352828130003724,0.6667586661875248,16009.519136680867,0.8785714285714286,0.012179770166255046,0.9883683567894094
16,-0.3259797915229041,-5.170393264463348,-0.15784990359726692,0.6701174646615983,15787.137068507143,0.8875,0.007102727902547831,0.9890350877192983
18,-0.5629464913831161,-5.605801550181142,-0.17364737027430907,0.6472004685137007,16357.569634398373,0.85,0.009930993560137387,0.989527194893552
20,-0.5487393033513266,-5.977673473741791,-0.18545024188911846,0.6427641098201275,16401.574667985577,0.845,0.011757312013627551,0.9898738073253309
22,-0.4470413994460809,-5.83474531379123,-0.1769334003635289,0.656453324989839,16038.696776083194,0.8590909090909091,0.006542076424811489,0.9916964127490443
24,-0.45005444203237355,-6.258694483724934,-0.19452566179701972,0.632394887631138,16573.829003435676,0.8416666666666667,0.009608303072743917,0.9890880583100264
26,-0.5751769987946479,-6.642980106662207,-0.2093355338125984,0.6456387254481132,16955.025455960083,0.8346153846153846,0.008714115364218209,0.9909851551956815
28,-0.47243064279062025,-6.984534756885185,-0.21728920977823246,0.6460708369101796,17192.486215007473,0.8428571428571429,0.009294018495641803,0.9916275802068716
