Tópico,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,grande,alegria,irmãos,dia,queridos,irmãs,igreja,dias,celebramos,nesses,"senhor,",santa,anunciação,"pascal,",epifania,festa,verdadeiramente,recordamos,evangelhos,dentro,precedem,fato,"alegria,","josé,",mãe,próximo,pascal.,sábado,cumprindo,gostaria
1,primeira,parece,"disse,",tema,esquece,"mandamento,",mãe,"pessoal,",primeiro,rara,tempestade,celebremos,geralmente,25,março,"ondas,",josé,calmada.,barca,pequena,"barca,",assuitada,tarefa.,prepararem,"tarefa,","olha,",muita,quanto,"esquece,",17
2,portugal,diz,ir,nunca,história,"pessoa,","mundo,",concupiscência,enquanto,nessa,fé,gostaria,antes,faria,distante.,"inteira,",difícil,refletir.,poema,transmitiu,infante,"enrique,",ótimo.,poética,mar,morar,longe,"palavras,",você?,cumprir-se
3,fala,coisas,aborto,francesa,frança,"então,",ideia,chá,super,ano.,"etc,",mil,lua,revolução,"pessoas,",causar,precisava,terminou,constituição.,significa?,resultando,decapitação,neto,irá,reverter,constatar,muito.,ama,dor,matando
4,pouco,evangelho,"deus,",judeus,diante,polêmica,coração,antigo,cena,irmãos,parábola,"seja,",fariseu,pecados,conversão,lei,prender,"testamento,","mês,",pegasse,leito,pediu,piscina,bendito,50º,cristianismo,tirado,surge,"mistério,",havia
5,nome,"jesus,",espírito,deus,santo.,amém.,"cruz,",sinal,livrai-nos,mistérios,contemplando,inimigos,divino,ofereço,terço,filho,rezar,santa,vimos,"ockham,","moisés,",certa,"realizá-las,",apareceu,caminhando.,entendem.,fatalidade.,devido,trido,quinta-feira
6,domingo,programa,queridas,paulo,"irmãs,",fé.,testemunho,quero,grande,acolher,iremos,meditar,neste,próximos,deste,"marcos,",todas,"ricardo,",comum.,gente,reflexão,"páscoa,",quarto,quinto,minutos,páscoa.,semanas,agora,estarmos,"1,"
7,discípulos,páscoa,aparições,verdadeiro,oitava,jesus.,ressurreição,todas,"filho,",ensinam,bem,liturgia,dedica,companheiros.,faz,mártires,várias,santos,ressuscitado.,aparece,cristão,durante,justamente,corações,claríssima.,luta,jairo,coaduna,projeto,"queria,"
8,queridos,evangelho,"irmãos,",respeito,vez,igreja,padre,palavra,alegria,versículos,"olá,",propõe,deus,capítulo,fala,tempo,refletir,trata-se,"você,",ricardo.,nesse,juntos,"fé,",iniciarmos,refletirmos,terceiro,olá,fazemos,cada,quaresma.
9,navegações,curso,portugueses,portuguesas.,aula,curso.,ideologia,muitos,parte,portuguesas,"portuguesa,",terminada,matar,clara,nada,"portugueses,",tornou,abraão,impacto,"for,","direita,","esquerda,",raiz,exaltação,inventaram,etc.,íntimo,lançamento.,"escabral,",álvaro
