padre1,padre2,category,count1,count2,percentage1,percentage2,chi2,p_value,significance
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,funct,4113,45119,45.21,48.63,6.20,0.01,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,pronoun,1454,17691,15.98,19.07,6.08,0.01,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,ppron,992,11185,10.90,12.05,0.10,0.75,no
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,you,638,8290,7.01,8.93,10.47,0.00,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,shehe,617,7376,6.78,7.95,1.34,0.25,no
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,ipron,979,12828,10.76,13.83,18.42,0.00,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,article,697,8052,7.66,8.68,0.12,0.72,no
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,social,1622,18939,17.83,20.41,0.94,0.33,no
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,preps,1300,13115,14.29,14.13,18.20,0.00,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,auxverb,671,6185,7.38,6.67,27.79,0.00,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,present,859,8806,9.44,9.49,8.97,0.00,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,verb,1098,12261,12.07,13.21,0.42,0.51,no
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,relativ,1923,18616,21.14,20.06,48.91,0.00,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,time,489,5444,5.37,5.87,0.25,0.62,no
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,work,233,2319,2.56,2.50,3.90,0.05,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,cogmech,2516,31537,27.65,33.99,23.18,0.00,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,incl,1138,11461,12.51,12.35,16.31,0.00,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,space,963,9574,10.58,10.32,16.74,0.00,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,nonfl,214,2820,2.35,3.04,4.24,0.04,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,conj,692,8772,7.61,9.45,7.47,0.01,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,insight,309,5360,3.40,5.78,53.12,0.00,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,percept,338,3341,3.72,3.60,6.27,0.01,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,humans,539,3898,5.92,4.20,100.68,0.00,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,inhib,267,2845,2.93,3.07,1.11,0.29,no
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,bio,385,4254,4.23,4.58,0.34,0.56,no
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,health,80,496,0.88,0.53,26.35,0.00,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,motion,442,4604,4.86,4.96,3.29,0.07,no
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,achieve,218,1615,2.40,1.74,36.32,0.00,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,money,138,1524,1.52,1.64,0.12,0.72,no
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,discrep,413,5442,4.54,5.87,8.24,0.00,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,tentat,514,8223,5.65,8.86,57.50,0.00,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,excl,437,6780,4.80,7.31,40.15,0.00,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,cause,237,3582,2.60,3.86,18.03,0.00,yes
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,affect,702,8231,7.72,8.87,0.54,0.46,no
result_m_transc_pe_arcanjo,results_m_transc_Bernardo_P_Küster,posemo,485,5264,5.33,5.67,1.07,0.30,no
